message_text,category
"Hey, Very slow speed, I'm getting only 10 Mbps asap.",complaint
"Hello, I'd like a new connection at 5442 Cedar Blvd, Chicago 60601.",order
"Hey, What is the early termination fee?.",inquiry
"Hello, Is there a contract for 6 months? please...",inquiry
"Hi, How long does installation take?!",inquiry
"Hello, How long does installation take? please.",inquiry
"Hello, Start a new service at 5178 Cedar Blvd, Houston 75001 on 2025-05-17 asap...",order
"Hi, What's the data cap on Gigabit? asap",inquiry
Which channels are included in international package? asap...,inquiry
Can I add HBO to my subscription? asap.,order
"Hey, Technician didn't arrive for the appointment thanks!",complaint
"Hey, Can I pause service while I'm away? urgent!",inquiry
"Hey, Can I add sports pack to my subscription?.",order
"Hello, What are the prices for Fiber 500 plan?!",inquiry
Billing shows extra charges for December asap...,complaint
Frequent outages in my area 94107 thanks...,complaint
"Hello, Do you have student discounts? urgent...",inquiry
Sign me up for Standard with international pack urgent.,order
"Hi, Can I add 4K DVR to my subscription? thanks...",order
"Hello, Frequent outages in my area 85001 thanks!",complaint
"Hi, Can I add multi-room DVR to my subscription? asap...",order
"Hey, Can I add HBO to my subscription?",order
"Hello, I'd like a new connection at 1818 Cedar Blvd, Dallas 60601 please!",order
"Hello, Technician didn't arrive for the appointment!",complaint
"Hello, Billing shows extra charges for October thanks",complaint
"Hey, Technician didn't arrive for the appointment",complaint
"Hey, Do you have student discounts? thanks.",inquiry
"Hi, Please upgrade my package to Basic urgent",order
Place an order for movies channels package please.,order
"Hi, App streaming buffers every few minutes please!",complaint
"Hello, Start a new service at 8787 Pine Rd, San Francisco 75001 on 2025-06-28 please...",order
"Hey, Technician didn't arrive for the appointment thanks.",complaint
"Hello, Place an order for movies channels package please.",order
"Hey, No channels after payment, please fix!",complaint
"No channels after payment, please fix thanks...",complaint
"Hey, I'd like to order a set-top box for office please...",order
"Hello, How long does installation take? thanks...",inquiry
"Hello, Place an order for international channels package asap",order
"Hi, Start a new service at 7787 Cedar Blvd, Miami 77001 on 2025-03-05 please",order
"Hi, What is the early termination fee?!",inquiry
Can I pause service while I'm away? thanks.,inquiry
"Hey, I want to order Basic plan thanks...",order
"Hello, Sign me up for Basic with sports pack urgent...",order
"Hello, Technician didn't arrive for the appointment please.",complaint
Is there a contract for 6 months? thanks...,inquiry
Do you service 94107?,inquiry
"Hi, Is there a contract for 24 months? asap!",inquiry
"Hi, Remote not working and the box keeps restarting urgent",complaint
"Hello, I'd like a new connection at 917 Maple St, Dallas 10001 thanks",order
"Hi, Internet is down since 11:30 PM urgent!",complaint
Remote not working and the box keeps restarting.,complaint
Cable line is damaged outside my house asap...,complaint
Is there a contract for 12 months? please...,inquiry
"Hey, I'd like a new connection at 7750 Oak Ave, Houston 85001",order
Is there a contract for 12 months? thanks.,inquiry
"Hi, Sign me up for Gigabit with international pack asap!",order
Do you have student discounts? urgent...,inquiry
"Hello, What's the data cap on Gigabit? asap.",inquiry
What's the data cap on Sports Max? please,inquiry
"Hey, My TV signal keeps dropping please!",complaint
Is there a contract for 12 months? asap...,inquiry
Which channels are included in international package? thanks!,inquiry
"Hi, What's the data cap on Gigabit? please...",inquiry
"Hi, Technician didn't arrive for the appointment thanks.",complaint
"Hi, Sign me up for Basic with international pack thanks",order
I'd like to order a set-top box for basement please,order
"Hey, Which channels are included in sports package? asap...",inquiry
"Hello, Is there a contract for 24 months? thanks",inquiry
"Hello, Place an order for movies channels package thanks!",order
Which channels are included in international package?,inquiry
"Hey, Place an order for news channels package asap",order
"Hey, Internet is down since 2:00 AM...",complaint
"Hi, Place an order for family channels package please",order
"Hello, Technician didn't arrive for the appointment thanks!",complaint
"Hi, Is there a contract for 24 months? urgent",inquiry
"Hello, Technician didn't arrive for the appointment!",complaint
"Hello, Which channels are included in movies package? please.",inquiry
"Hi, Please upgrade my package to Premium urgent!",order
"Hi, I'd like to order a set-top box for office asap",order
"Hey, Place an order for international channels package thanks!",order
Is there a contract for 24 months? urgent.,inquiry
"Hi, Can I add HBO to my subscription?",order
"Hello, Frequent outages in my area 60601",complaint
"Hi, Do you service 10001? asap!",inquiry
Frequent outages in my area 77001 thanks!,complaint
Do you offer weekend installation? thanks...,inquiry
"Hey, Place an order for family channels package please...",order
"Hello, Do you have student discounts? please!",inquiry
"Hello, What's the data cap on Premium?.",inquiry
"Hey, How long does installation take? asap.",inquiry
"Hi, I'd like to order a set-top box for office please.",order
"Hey, Start a new service at 3301 Oak Ave, Dallas 85001 on 2025-03-16 urgent",order
"Hey, Schedule installation for 2025-01-11 at 5874 Cedar Blvd, Miami 10001 thanks.",order
"Hey, Order ID #2127: confirm activation thanks.",order
"Hello, Do you offer weekend installation? urgent!",inquiry
"Hi, Do you have student discounts? urgent",inquiry
"Hi, What's the data cap on Premium?...",inquiry
"Hello, Which channels are included in family package?...",inquiry
"Hello, Please upgrade my package to Sports Max!",order
Can I pause service while I'm away?...,inquiry
"I'd like a new connection at 432 Oak Ave, San Francisco 33101 asap...",order
"Hey, What is the early termination fee? asap.",inquiry
"Hey, Remote not working and the box keeps restarting thanks...",complaint
"Hi, Schedule installation for 2025-05-14 at 1397 Elm St, New York 75001 asap",order
Technician didn't arrive for the appointment urgent,complaint
"Hello, I'd like a new connection at 8278 Pine Rd, Phoenix 10001 urgent!",order
"I'd like a new connection at 39 Elm St, Chicago 77001 thanks",order
"Hi, Frequent outages in my area 85001 please",complaint
"Hello, My TV signal keeps dropping urgent",complaint
Do you have student discounts? urgent.,inquiry
"Hello, I want to order Sports Max plan please...",order
"Hey, Which channels are included in international package?",inquiry
"Hi, Please upgrade my package to Sports Max urgent.",order
Order ID #2738: confirm activation asap!,order
"Hi, What is the early termination fee? asap!",inquiry
"Hey, My TV signal keeps dropping asap!",complaint
"Hi, My TV signal keeps dropping asap.",complaint
Remote not working and the box keeps restarting asap...,complaint
"Hey, App streaming buffers every few minutes asap",complaint
What's the data cap on Standard? asap.,inquiry
"Hi, I'd like to order a set-top box for living room thanks.",order
"Hey, Very slow speed, I'm getting only 100 Mbps thanks!",complaint
Internet is down since 4:30 PM please!,complaint
"Hello, What is the early termination fee? urgent...",inquiry
"Hey, Which channels are included in news package? asap.",inquiry
Can I add sports pack to my subscription? urgent,order
"Hey, Which channels are included in international package? urgent",inquiry
"Hi, Please upgrade my package to Sports Max urgent",order
"Hi, I'd like a new connection at 9043 Pine Rd, Miami 10001 thanks!",order
"Hey, No channels after payment, please fix thanks...",complaint
"Hey, How long does installation take? asap!",inquiry
"Hello, Very slow speed, I'm getting only 200 Mbps urgent...",complaint
"Hi, No channels after payment, please fix asap",complaint
Is there a contract for 12 months? please,inquiry
Do you have student discounts? asap!,inquiry
"Hello, Start a new service at 1113 Pine Rd, San Francisco 10001 on 2025-05-29 asap...",order
"Hello, My TV signal keeps dropping thanks!",complaint
"Hello, Schedule installation for 2025-04-18 at 212 Elm St, Dallas 75001 asap",order
Is there a contract for 12 months? urgent,inquiry
"Hi, Please upgrade my package to Standard urgent...",order
"Very slow speed, I'm getting only 50 Mbps...",complaint
"Hi, Do you have student discounts?.",inquiry
"Hey, I'd like to order a set-top box for basement asap.",order
"Hello, Do you have student discounts? asap",inquiry
"Hi, Can I pause service while I'm away? asap.",inquiry
"Hi, I'd like to order a set-top box for bedroom!",order
"Hey, Cable line is damaged outside my house urgent!",complaint
"Hi, Do you have student discounts? thanks...",inquiry
"Hi, Cable line is damaged outside my house urgent...",complaint
Place an order for international channels package please!,order
"Hey, Start a new service at 3648 Elm St, New York 94107 on 2025-05-15...",order
How long does installation take?,inquiry
I want to order Fiber 500 plan thanks.,order
"Hi, Sign me up for Gigabit with international pack...",order
"Hello, No channels after payment, please fix urgent...",complaint
Do you offer weekend installation? please...,inquiry
Frequent outages in my area 94107 urgent!,complaint
I want to order Standard plan urgent,order
Billing shows extra charges for May,complaint
"Hello, Do you have student discounts? urgent",inquiry
Can I add HBO to my subscription? urgent...,order
"Hi, I want to order Premium plan please.",order
Cable line is damaged outside my house thanks,complaint
"Hi, No channels after payment, please fix asap...",complaint
Frequent outages in my area 77001 please...,complaint
"Hello, Which channels are included in international package? thanks...",inquiry
Can I pause service while I'm away? asap.,inquiry
"Hi, What are the prices for Premium plan?!",inquiry
Internet is down since 4:30 AM,complaint
Is there a contract for 24 months? asap!,inquiry
What is the early termination fee?,inquiry
"Hi, Cable line is damaged outside my house asap...",complaint
What is the early termination fee? please.,inquiry
"Hey, Is there a contract for 12 months? urgent!",inquiry
"Hi, Do you have student discounts? thanks!",inquiry
What's the data cap on Basic?.,inquiry
"I'd like a new connection at 5630 Cedar Blvd, Houston 10001",order
Place an order for sports channels package urgent!,order
"Hi, Do you have student discounts? asap",inquiry
"Hi, I'd like to order a set-top box for living room.",order
"Hey, Order ID #7065: confirm activation thanks.",order
"Hello, What are the prices for Premium plan?!",inquiry
"Hey, Frequent outages in my area 85001...",complaint
"Hi, Please upgrade my package to Basic asap...",order
"Hey, Is there a contract for 12 months? thanks.",inquiry
Is there a contract for 6 months? asap.,inquiry
Place an order for movies channels package asap,order
"Hi, Can I pause service while I'm away? asap!",inquiry
"Hi, Frequent outages in my area 33101 asap.",complaint
I'd like to order a set-top box for office please,order
"Hi, Is there a contract for 24 months? thanks...",inquiry
Order ID #6172: confirm activation asap,order
"Hey, Remote not working and the box keeps restarting.",complaint
"Hi, App streaming buffers every few minutes thanks.",complaint
Cable line is damaged outside my house please...,complaint
"Hey, Order ID #3854: confirm activation please",order
"Hey, Do you service 94107? urgent!",inquiry
I'd like to order a set-top box for living room...,order
"Hello, How long does installation take? please!",inquiry
"Hey, What's the data cap on Premium? please.",inquiry
"Hello, How long does installation take? urgent",inquiry
Sign me up for Standard with HBO.,order
"Hey, Which channels are included in sports package?.",inquiry
"Hello, Do you service 77001? thanks",inquiry
"Hey, No channels after payment, please fix asap.",complaint
"Hey, Place an order for family channels package urgent",order
Remote not working and the box keeps restarting urgent,complaint
"Hello, I'd like to order a set-top box for basement thanks...",order
"Hello, No channels after payment, please fix thanks...",complaint
What is the early termination fee? urgent...,inquiry
"Hi, Sign me up for Basic with international pack",order
Please upgrade my package to Standard thanks!,order
"Hi, Can I add multi-room DVR to my subscription? thanks",order
Can I add HBO to my subscription?.,order
"Schedule installation for 2025-04-01 at 8047 Cedar Blvd, New York 85001...",order
"Hi, Order ID #4860: confirm activation...",order
"Hey, Internet is down since 11:15 PM thanks...",complaint
"Hello, Is there a contract for 24 months? thanks...",inquiry
"Hi, Do you have student discounts? please!",inquiry
"Hey, Schedule installation for 2025-06-04 at 9074 Oak Ave, Miami 33101 please.",order
"Hey, My TV signal keeps dropping please.",complaint
"Hello, What are the prices for Standard plan? thanks",inquiry
"Hi, Frequent outages in my area 60601 thanks",complaint
"Hey, Cable line is damaged outside my house thanks.",complaint
"Hello, What's the data cap on Premium?!",inquiry
"Hello, What is the early termination fee?!",inquiry
"Hello, No channels after payment, please fix urgent...",complaint
"Hey, Start a new service at 7909 Cedar Blvd, Miami 75001 on 2025-06-28 please!",order
"Hey, Schedule installation for 2025-02-12 at 7845 Cedar Blvd, Phoenix 77001 thanks...",order
"Hi, Cable line is damaged outside my house!",complaint
"Hey, Can I add international pack to my subscription? please...",order
"Hey, My TV signal keeps dropping thanks",complaint
"Hey, What are the prices for Standard plan? urgent!",inquiry
"Hi, Sign me up for Premium with kids pack...",order
Can I pause service while I'm away? please,inquiry
"Hey, My TV signal keeps dropping please.",complaint
"Hi, Can I add multi-room DVR to my subscription? please!",order
"Hey, Can I pause service while I'm away? please",inquiry
"Hello, Cable line is damaged outside my house please",complaint
Is there a contract for 12 months?...,inquiry
"Hi, Do you offer weekend installation? urgent",inquiry
"Hi, Please upgrade my package to Standard asap!",order
"Hey, Technician didn't arrive for the appointment urgent",complaint
"Very slow speed, I'm getting only 1 Mbps asap.",complaint
Is there a contract for 12 months? asap...,inquiry
"Hello, Is there a contract for 24 months? asap.",inquiry
"Hey, No channels after payment, please fix thanks...",complaint
Remote not working and the box keeps restarting please...,complaint
"Schedule installation for 2025-05-12 at 5643 Oak Ave, Chicago 85001 urgent...",order
"Hello, App streaming buffers every few minutes.",complaint
"Hello, Sign me up for Basic with international pack asap!",order
"Hi, Please upgrade my package to Standard please",order
"Hi, Billing shows extra charges for May thanks.",complaint
"Hi, Order ID #3461: confirm activation asap",order
"Hey, Place an order for movies channels package thanks!",order
"Hi, Frequent outages in my area 77001 please.",complaint
"Hi, Do you service 33101?...",inquiry
"Hey, Cable line is damaged outside my house asap",complaint
What is the early termination fee? asap.,inquiry
My TV signal keeps dropping.,complaint
"Hey, Start a new service at 3174 Elm St, Phoenix 10001 on 2025-05-26!",order
"Hi, Cable line is damaged outside my house thanks!",complaint
What are the prices for Standard plan? thanks!,inquiry
"Hey, App streaming buffers every few minutes please.",complaint
"Hello, I'd like to order a set-top box for office please.",order
"Hello, Frequent outages in my area 60601 asap!",complaint
"Hi, What's the data cap on Basic? urgent",inquiry
Frequent outages in my area 60601 asap...,complaint
Technician didn't arrive for the appointment asap.,complaint
"Hello, Can I add multi-room DVR to my subscription? asap...",order
"Hey, Which channels are included in family package? urgent.",inquiry
"Hi, How long does installation take? asap...",inquiry
"Hi, I'd like to order a set-top box for living room please.",order
Can I add kids pack to my subscription? thanks,order
"Hello, Which channels are included in sports package? thanks...",inquiry
"Hello, Schedule installation for 2025-03-31 at 7151 Cedar Blvd, San Francisco 60601 asap.",order
"Hi, Is there a contract for 6 months? please",inquiry
"Hi, Internet is down since 8:00 AM please!",complaint
"Hey, Internet is down since 7:00 AM",complaint
"Hi, Frequent outages in my area 94107!",complaint
"Hello, Order ID #8025: confirm activation!",order
"Hi, Cable line is damaged outside my house asap!",complaint
"Hi, Do you service 94107?.",inquiry
"Hey, No channels after payment, please fix...",complaint
"Hey, Place an order for sports channels package please...",order
"Hello, What's the data cap on Standard? please.",inquiry
"Hey, How long does installation take? asap",inquiry
"Hello, Cable line is damaged outside my house please!",complaint
"Hi, Start a new service at 3736 Cedar Blvd, New York 75001 on 2025-02-09 thanks",order
Can I pause service while I'm away? thanks!,inquiry
What is the early termination fee? thanks!,inquiry
"Hey, I'd like to order a set-top box for basement",order
Order ID #9447: confirm activation...,order
I want to order Standard plan please.,order
"Hello, What's the data cap on Premium? urgent.",inquiry
"Hi, Frequent outages in my area 94107 asap...",complaint
"Hi, Very slow speed, I'm getting only 50 Mbps...",complaint
"Hi, I'd like a new connection at 5775 Pine Rd, Phoenix 33101...",order
"Hello, Technician didn't arrive for the appointment asap...",complaint
"Hey, Remote not working and the box keeps restarting thanks",complaint
Frequent outages in my area 33101 asap...,complaint
How long does installation take? thanks!,inquiry
"Hello, Is there a contract for 24 months?.",inquiry
"Hello, Order ID #4580: confirm activation...",order
"Hey, How long does installation take? thanks",inquiry
"Hi, Frequent outages in my area 77001...",complaint
Can I add 4K DVR to my subscription? please!,order
"Hey, Schedule installation for 2025-04-11 at 3339 Oak Ave, Dallas 33101 urgent.",order
"Start a new service at 8755 Pine Rd, Miami 60601 on 2025-05-19 urgent!",order
Sign me up for Fiber 500 with 4K DVR urgent.,order
"Hey, Is there a contract for 6 months? thanks",inquiry
"Hello, Start a new service at 2388 Elm St, New York 33101 on 2025-01-18 thanks!",order
"Hi, What are the prices for Sports Max plan?!",inquiry
"Hello, My TV signal keeps dropping urgent...",complaint
"Hi, What's the data cap on Fiber 500? urgent",inquiry
"Hey, Order ID #9008: confirm activation urgent.",order
"Hey, What is the early termination fee? urgent...",inquiry
"Hey, App streaming buffers every few minutes asap!",complaint
"Hi, Frequent outages in my area 10001 urgent!",complaint
"Hi, No channels after payment, please fix thanks!",complaint
"Hey, Schedule installation for 2025-04-16 at 8438 Maple St, New York 77001 asap!",order
"Hello, What is the early termination fee? please.",inquiry
"Hello, Can I add international pack to my subscription? asap...",order
What are the prices for Gigabit plan?!,inquiry
Is there a contract for 12 months? thanks!,inquiry
"Hey, Can I pause service while I'm away?!",inquiry
"Hello, Do you service 85001?.",inquiry
"Hey, Please upgrade my package to Standard please.",order
"Hey, Frequent outages in my area 85001 asap",complaint
"Hey, What's the data cap on Fiber 500? please!",inquiry
"Hey, App streaming buffers every few minutes thanks!",complaint
"Hello, Do you have student discounts? please!",inquiry
Internet is down since 8:45 PM please...,complaint
"Hey, Can I add multi-room DVR to my subscription? thanks!",order
"Hey, Do you service 10001? asap...",inquiry
"Hey, Cable line is damaged outside my house.",complaint
